Epoch -0001 | Loss 0.0000 | Accuracy 0.0021
Epoch 00000 | Loss 2.8722 | Accuracy 0.3450
Epoch 00001 | Loss 1.6746 | Accuracy 0.4535
Epoch 00002 | Loss 1.5419 | Accuracy 0.4838
Epoch 00003 | Loss 1.4820 | Accuracy 0.5025
Epoch 00004 | Loss 1.4429 | Accuracy 0.5103
Epoch 00005 | Loss 1.4161 | Accuracy 0.5258
Epoch 00006 | Loss 1.3947 | Accuracy 0.5243
Epoch 00007 | Loss 1.3781 | Accuracy 0.5340
Epoch 00008 | Loss 1.3658 | Accuracy 0.5329
Epoch 00009 | Loss 1.3544 | Accuracy 0.5351
Epoch 00010 | Loss 1.3459 | Accuracy 0.5397
Epoch 00011 | Loss 1.3383 | Accuracy 0.5511
Epoch 00012 | Loss 1.3326 | Accuracy 0.5548
Epoch 00013 | Loss 1.3278 | Accuracy 0.5507
Epoch 00014 | Loss 1.3218 | Accuracy 0.5579
Epoch 00015 | Loss 1.3181 | Accuracy 0.5645
Epoch 00016 | Loss 1.3145 | Accuracy 0.5531
Epoch 00017 | Loss 1.3109 | Accuracy 0.5601
Epoch 00018 | Loss 1.3070 | Accuracy 0.5552
Epoch 00019 | Loss 1.3045 | Accuracy 0.5652
Epoch 00020 | Loss 1.3016 | Accuracy 0.5559
Epoch 00021 | Loss 1.2992 | Accuracy 0.5669
Epoch 00022 | Loss 1.2975 | Accuracy 0.5709
Epoch 00023 | Loss 1.2960 | Accuracy 0.5693
Epoch 00024 | Loss 1.2943 | Accuracy 0.5698
Epoch 00025 | Loss 1.2929 | Accuracy 0.5691
Epoch 00026 | Loss 1.2899 | Accuracy 0.5627
Epoch 00027 | Loss 1.2892 | Accuracy 0.5700
Epoch 00028 | Loss 1.2888 | Accuracy 0.5687
Epoch 00029 | Loss 1.2870 | Accuracy 0.5727
Epoch 00030 | Loss 1.2858 | Accuracy 0.5724
Epoch 00031 | Loss 1.2844 | Accuracy 0.5693
Epoch 00032 | Loss 1.2834 | Accuracy 0.5805
Epoch 00033 | Loss 1.2815 | Accuracy 0.5829
Epoch 00034 | Loss 1.2820 | Accuracy 0.5759
Epoch 00035 | Loss 1.2813 | Accuracy 0.5832
Epoch 00036 | Loss 1.2796 | Accuracy 0.5686
Epoch 00037 | Loss 1.2790 | Accuracy 0.5719
Epoch 00038 | Loss 1.2784 | Accuracy 0.5850
Epoch 00039 | Loss 1.2775 | Accuracy 0.5796
Epoch 00040 | Loss 1.2774 | Accuracy 0.5735
Epoch 00041 | Loss 1.2751 | Accuracy 0.5837
Epoch 00042 | Loss 1.2751 | Accuracy 0.5805
Epoch 00043 | Loss 1.2748 | Accuracy 0.5775
Epoch 00044 | Loss 1.2745 | Accuracy 0.5840
Epoch 00045 | Loss 1.2744 | Accuracy 0.5848
Epoch 00046 | Loss 1.2739 | Accuracy 0.5810
Epoch 00047 | Loss 1.2733 | Accuracy 0.5796
Epoch 00048 | Loss 1.2736 | Accuracy 0.5822
Epoch 00049 | Loss 1.2727 | Accuracy 0.5768
