Epoch -0001 | Loss 0.0000 | Accuracy 0.0228
Epoch 00000 | Loss 4.3912 | Accuracy 0.0885
Epoch 00001 | Loss 3.1456 | Accuracy 0.2397
Epoch 00002 | Loss 2.4953 | Accuracy 0.3285
Epoch 00003 | Loss 2.1921 | Accuracy 0.3916
Epoch 00004 | Loss 2.0556 | Accuracy 0.4372
Epoch 00005 | Loss 1.9630 | Accuracy 0.4656
Epoch 00006 | Loss 1.8975 | Accuracy 0.4876
Epoch 00007 | Loss 1.8514 | Accuracy 0.4975
Epoch 00008 | Loss 1.8152 | Accuracy 0.5087
Epoch 00009 | Loss 1.7871 | Accuracy 0.5140
Epoch 00010 | Loss 1.7666 | Accuracy 0.5194
Epoch 00011 | Loss 1.7469 | Accuracy 0.5238
Epoch 00012 | Loss 1.7323 | Accuracy 0.5272
Epoch 00013 | Loss 1.7191 | Accuracy 0.5295
Epoch 00014 | Loss 1.7050 | Accuracy 0.5316
Epoch 00015 | Loss 1.6974 | Accuracy 0.5373
Epoch 00016 | Loss 1.6872 | Accuracy 0.5383
Epoch 00017 | Loss 1.6801 | Accuracy 0.5381
Epoch 00018 | Loss 1.6726 | Accuracy 0.5377
Epoch 00019 | Loss 1.6640 | Accuracy 0.5481
Epoch 00020 | Loss 1.6609 | Accuracy 0.5473
Epoch 00021 | Loss 1.6532 | Accuracy 0.5521
Epoch 00022 | Loss 1.6483 | Accuracy 0.5506
Epoch 00023 | Loss 1.6470 | Accuracy 0.5554
Epoch 00024 | Loss 1.6431 | Accuracy 0.5521
Epoch 00025 | Loss 1.6385 | Accuracy 0.5529
Epoch 00026 | Loss 1.6354 | Accuracy 0.5571
Epoch 00027 | Loss 1.6334 | Accuracy 0.5566
Epoch 00028 | Loss 1.6278 | Accuracy 0.5581
Epoch 00029 | Loss 1.6246 | Accuracy 0.5646
Epoch 00030 | Loss 1.6232 | Accuracy 0.5630
Epoch 00031 | Loss 1.6211 | Accuracy 0.5648
Epoch 00032 | Loss 1.6203 | Accuracy 0.5607
Epoch 00033 | Loss 1.6162 | Accuracy 0.5652
Epoch 00034 | Loss 1.6145 | Accuracy 0.5652
Epoch 00035 | Loss 1.6121 | Accuracy 0.5685
Epoch 00036 | Loss 1.6101 | Accuracy 0.5658
Epoch 00037 | Loss 1.6094 | Accuracy 0.5695
Epoch 00038 | Loss 1.6086 | Accuracy 0.5661
Epoch 00039 | Loss 1.6086 | Accuracy 0.5696
Epoch 00040 | Loss 1.6049 | Accuracy 0.5679
Epoch 00041 | Loss 1.6018 | Accuracy 0.5641
Epoch 00042 | Loss 1.6024 | Accuracy 0.5750
Epoch 00043 | Loss 1.6028 | Accuracy 0.5693
Epoch 00044 | Loss 1.5977 | Accuracy 0.5723
Epoch 00045 | Loss 1.5979 | Accuracy 0.5733
Epoch 00046 | Loss 1.5963 | Accuracy 0.5755
Epoch 00047 | Loss 1.5942 | Accuracy 0.5721
Epoch 00048 | Loss 1.5962 | Accuracy 0.5737
Epoch 00049 | Loss 1.5925 | Accuracy 0.5736
