Epoch -0001 | Loss 0.0000 | Accuracy 0.0021
Epoch 00000 | Loss 4.4679 | Accuracy 0.0908
Epoch 00001 | Loss 3.3383 | Accuracy 0.2041
Epoch 00002 | Loss 2.5992 | Accuracy 0.3263
Epoch 00003 | Loss 2.1996 | Accuracy 0.3993
Epoch 00004 | Loss 2.0363 | Accuracy 0.4432
Epoch 00005 | Loss 1.9475 | Accuracy 0.4672
Epoch 00006 | Loss 1.8908 | Accuracy 0.4802
Epoch 00007 | Loss 1.8489 | Accuracy 0.4898
Epoch 00008 | Loss 1.8126 | Accuracy 0.5057
Epoch 00009 | Loss 1.7837 | Accuracy 0.5110
Epoch 00010 | Loss 1.7535 | Accuracy 0.5180
Epoch 00011 | Loss 1.7373 | Accuracy 0.5218
Epoch 00012 | Loss 1.7214 | Accuracy 0.5232
Epoch 00013 | Loss 1.7127 | Accuracy 0.5272
Epoch 00014 | Loss 1.7024 | Accuracy 0.5290
Epoch 00015 | Loss 1.6946 | Accuracy 0.5276
Epoch 00016 | Loss 1.6904 | Accuracy 0.5327
Epoch 00017 | Loss 1.6840 | Accuracy 0.5355
Epoch 00018 | Loss 1.6758 | Accuracy 0.5410
Epoch 00019 | Loss 1.6754 | Accuracy 0.5383
Epoch 00020 | Loss 1.6687 | Accuracy 0.5408
Epoch 00021 | Loss 1.6644 | Accuracy 0.5426
Epoch 00022 | Loss 1.6577 | Accuracy 0.5475
Epoch 00023 | Loss 1.6547 | Accuracy 0.5467
Epoch 00024 | Loss 1.6499 | Accuracy 0.5434
Epoch 00025 | Loss 1.6481 | Accuracy 0.5490
Epoch 00026 | Loss 1.6438 | Accuracy 0.5481
Epoch 00027 | Loss 1.6411 | Accuracy 0.5491
Epoch 00028 | Loss 1.6370 | Accuracy 0.5501
Epoch 00029 | Loss 1.6356 | Accuracy 0.5532
Epoch 00030 | Loss 1.6320 | Accuracy 0.5530
Epoch 00031 | Loss 1.6303 | Accuracy 0.5569
Epoch 00032 | Loss 1.6264 | Accuracy 0.5573
Epoch 00033 | Loss 1.6252 | Accuracy 0.5602
Epoch 00034 | Loss 1.6213 | Accuracy 0.5559
Epoch 00035 | Loss 1.6201 | Accuracy 0.5587
Epoch 00036 | Loss 1.6160 | Accuracy 0.5624
Epoch 00037 | Loss 1.6151 | Accuracy 0.5646
Epoch 00038 | Loss 1.6150 | Accuracy 0.5634
Epoch 00039 | Loss 1.6134 | Accuracy 0.5642
Epoch 00040 | Loss 1.6120 | Accuracy 0.5616
Epoch 00041 | Loss 1.6108 | Accuracy 0.5615
Epoch 00042 | Loss 1.6055 | Accuracy 0.5612
Epoch 00043 | Loss 1.6047 | Accuracy 0.5674
Epoch 00044 | Loss 1.6044 | Accuracy 0.5703
Epoch 00045 | Loss 1.6044 | Accuracy 0.5655
Epoch 00046 | Loss 1.5997 | Accuracy 0.5620
Epoch 00047 | Loss 1.5993 | Accuracy 0.5659
Epoch 00048 | Loss 1.5970 | Accuracy 0.5677
Epoch 00049 | Loss 1.5981 | Accuracy 0.5688
