Epoch 00000 | Loss 7.1529 | Accuracy 0.5687
Epoch 00001 | Loss 1.3734 | Accuracy 0.6715
Epoch 00002 | Loss 1.0498 | Accuracy 0.7298
Epoch 00003 | Loss 0.8838 | Accuracy 0.7723
Epoch 00004 | Loss 0.7775 | Accuracy 0.7994
Epoch 00005 | Loss 0.6889 | Accuracy 0.8203
Epoch 00006 | Loss 0.6226 | Accuracy 0.8360
Epoch 00007 | Loss 0.5845 | Accuracy 0.8420
Epoch 00008 | Loss 0.5606 | Accuracy 0.8493
Epoch 00009 | Loss 0.5424 | Accuracy 0.8513
Epoch 00010 | Loss 0.5255 | Accuracy 0.8574
Epoch 00011 | Loss 0.5118 | Accuracy 0.8620
Epoch 00012 | Loss 0.4972 | Accuracy 0.8642
Epoch 00013 | Loss 0.4887 | Accuracy 0.8626
Epoch 00014 | Loss 0.4830 | Accuracy 0.8676
Epoch 00015 | Loss 0.4772 | Accuracy 0.8662
Epoch 00016 | Loss 0.4669 | Accuracy 0.8679
Epoch 00017 | Loss 0.4671 | Accuracy 0.8698
Epoch 00018 | Loss 0.4621 | Accuracy 0.8718
Epoch 00019 | Loss 0.4562 | Accuracy 0.8722
Epoch 00020 | Loss 0.4526 | Accuracy 0.8735
Epoch 00021 | Loss 0.4429 | Accuracy 0.8725
Epoch 00022 | Loss 0.4454 | Accuracy 0.8714
Epoch 00023 | Loss 0.4415 | Accuracy 0.8721
Epoch 00024 | Loss 0.4378 | Accuracy 0.8751
Epoch 00025 | Loss 0.4361 | Accuracy 0.8743
Epoch 00026 | Loss 0.4342 | Accuracy 0.8767
Epoch 00027 | Loss 0.4330 | Accuracy 0.8764
Epoch 00028 | Loss 0.4317 | Accuracy 0.8800
Epoch 00029 | Loss 0.4294 | Accuracy 0.8791
Epoch 00030 | Loss 0.4231 | Accuracy 0.8787
Epoch 00031 | Loss 0.4237 | Accuracy 0.8813
Epoch 00032 | Loss 0.4222 | Accuracy 0.8795
Epoch 00033 | Loss 0.4213 | Accuracy 0.8794
Epoch 00034 | Loss 0.4188 | Accuracy 0.8784
Epoch 00035 | Loss 0.4204 | Accuracy 0.8807
Epoch 00036 | Loss 0.4190 | Accuracy 0.8804
Epoch 00037 | Loss 0.4155 | Accuracy 0.8816
Epoch 00038 | Loss 0.4160 | Accuracy 0.8805
Epoch 00039 | Loss 0.4140 | Accuracy 0.8835
Epoch 00040 | Loss 0.4083 | Accuracy 0.8820
Epoch 00041 | Loss 0.4120 | Accuracy 0.8825
Epoch 00042 | Loss 0.4094 | Accuracy 0.8821
Epoch 00043 | Loss 0.4146 | Accuracy 0.8808
Epoch 00044 | Loss 0.4126 | Accuracy 0.8831
Epoch 00045 | Loss 0.4133 | Accuracy 0.8852
Epoch 00046 | Loss 0.4061 | Accuracy 0.8827
Epoch 00047 | Loss 0.4065 | Accuracy 0.8839
Epoch 00048 | Loss 0.4130 | Accuracy 0.8811
Epoch 00049 | Loss 0.4127 | Accuracy 0.8834
