Epoch -0001 | Loss 0.0000 | Accuracy 0.0080
Epoch 00000 | Loss 2.8534 | Accuracy 0.3803
Epoch 00001 | Loss 1.6475 | Accuracy 0.4645
Epoch 00002 | Loss 1.5137 | Accuracy 0.4923
Epoch 00003 | Loss 1.4589 | Accuracy 0.5130
Epoch 00004 | Loss 1.4266 | Accuracy 0.5202
Epoch 00005 | Loss 1.4047 | Accuracy 0.5245
Epoch 00006 | Loss 1.3925 | Accuracy 0.5372
Epoch 00007 | Loss 1.3805 | Accuracy 0.5419
Epoch 00008 | Loss 1.3699 | Accuracy 0.5418
Epoch 00009 | Loss 1.3611 | Accuracy 0.5472
Epoch 00010 | Loss 1.3519 | Accuracy 0.5584
Epoch 00011 | Loss 1.3446 | Accuracy 0.5511
Epoch 00012 | Loss 1.3373 | Accuracy 0.5605
Epoch 00013 | Loss 1.3306 | Accuracy 0.5608
Epoch 00014 | Loss 1.3248 | Accuracy 0.5649
Epoch 00015 | Loss 1.3204 | Accuracy 0.5632
Epoch 00016 | Loss 1.3149 | Accuracy 0.5618
Epoch 00017 | Loss 1.3124 | Accuracy 0.5716
Epoch 00018 | Loss 1.3089 | Accuracy 0.5740
Epoch 00019 | Loss 1.3048 | Accuracy 0.5651
Epoch 00020 | Loss 1.3021 | Accuracy 0.5753
Epoch 00021 | Loss 1.3003 | Accuracy 0.5679
Epoch 00022 | Loss 1.2994 | Accuracy 0.5763
Epoch 00023 | Loss 1.2978 | Accuracy 0.5748
Epoch 00024 | Loss 1.2957 | Accuracy 0.5736
Epoch 00025 | Loss 1.2944 | Accuracy 0.5789
Epoch 00026 | Loss 1.2918 | Accuracy 0.5695
Epoch 00027 | Loss 1.2922 | Accuracy 0.5803
Epoch 00028 | Loss 1.2912 | Accuracy 0.5779
Epoch 00029 | Loss 1.2889 | Accuracy 0.5767
Epoch 00030 | Loss 1.2884 | Accuracy 0.5804
Epoch 00031 | Loss 1.2873 | Accuracy 0.5842
Epoch 00032 | Loss 1.2855 | Accuracy 0.5780
Epoch 00033 | Loss 1.2861 | Accuracy 0.5833
Epoch 00034 | Loss 1.2840 | Accuracy 0.5760
Epoch 00035 | Loss 1.2834 | Accuracy 0.5863
Epoch 00036 | Loss 1.2833 | Accuracy 0.5840
Epoch 00037 | Loss 1.2819 | Accuracy 0.5824
Epoch 00038 | Loss 1.2806 | Accuracy 0.5738
Epoch 00039 | Loss 1.2801 | Accuracy 0.5845
Epoch 00040 | Loss 1.2787 | Accuracy 0.5795
Epoch 00041 | Loss 1.2782 | Accuracy 0.5772
Epoch 00042 | Loss 1.2768 | Accuracy 0.5865
Epoch 00043 | Loss 1.2762 | Accuracy 0.5884
Epoch 00044 | Loss 1.2755 | Accuracy 0.5872
Epoch 00045 | Loss 1.2733 | Accuracy 0.5834
Epoch 00046 | Loss 1.2728 | Accuracy 0.5804
Epoch 00047 | Loss 1.2723 | Accuracy 0.5857
Epoch 00048 | Loss 1.2708 | Accuracy 0.5841
Epoch 00049 | Loss 1.2701 | Accuracy 0.5815
