"friendster_variance[0, 1]_t0_NP_SAGE_nl8of8_cm8GB",SAGE,1024,256,16,4,"[10, 10, 10]",dryrun,8.0GB,cm8GB,8388608,2147483648,0,0,7,20,431.84,9629.34,572.58,10633.76
"friendster_variance[0, 2]_t0_MP_SAGE_nl8of8_cm8GB",SAGE,1024,256,16,4,"[10, 10, 10]",dryrun,8.0GB,cm8GB,65608366,16795741696,0,0,7,20,20271.65,587.54,10480.39,31339.57
friendster_variance[1]_t0_DP_SAGE_nl12of8_cm0GB,SAGE,1024,256,16,4,"[10, 10, 10]",dryrun,0.0GB,cm0GB,0,0,0,0,7,20,262.44,7972.27,340.96,8575.67
"friendster_variance[1, 2]_t0_NP_SAGE_nl12of8_cm0GB",SAGE,1024,256,16,4,"[10, 10, 10]",dryrun,0.0GB,cm0GB,0,0,0,0,7,20,384.84,5524.41,581.23,6490.47
"friendster_variance[0, 2]_t0_MP_SAGE_nl12of8_cm0GB",SAGE,1024,256,16,4,"[10, 10, 10]",dryrun,0.0GB,cm0GB,0,0,0,0,7,20,20782.69,12542.85,10947.3,44272.85
friendster_t0_DP_SAGE_nl12of8_cm1GB,SAGE,1024,256,16,4,"[10, 10, 10]",dryrun,1.0GB,cm1GB,1048576,268435456,0,0,7,20,264.38,7933.82,336.77,8534.97
"friendster_variance[1, 2]_t0_NP_SAGE_nl12of8_cm1GB",SAGE,1024,256,16,4,"[10, 10, 10]",dryrun,1.0GB,cm1GB,1048576,268435456,0,0,7,20,390.59,1540.13,629.7,2560.42
"friendster_variance[0, 2]_t0_MP_SAGE_nl12of8_cm1GB",SAGE,1024,256,16,4,"[10, 10, 10]",dryrun,1.0GB,cm1GB,33554432,8589934592,0,0,7,20,20683.2,688.94,11690.3,33062.44
friendster_variance[1]_t0_DP_SAGE_nl12of8_cm2GB,SAGE,1024,256,16,4,"[10, 10, 10]",dryrun,2.0GB,cm2GB,2097152,536870912,0,0,7,20,264.18,8904.4,340.29,9508.87
friendster_variance[1]_t0_NP_SAGE_nl12of8_cm2GB,SAGE,1024,256,16,4,"[10, 10, 10]",dryrun,2.0GB,cm2GB,2097152,536870912,0,0,7,20,389.48,3970.32,558.81,4918.61
"friendster_variance[0, 2]_t0_MP_SAGE_nl12of8_cm2GB",SAGE,1024,256,16,4,"[10, 10, 10]",dryrun,2.0GB,cm2GB,65608366,16795741696,0,0,7,20,20498.81,584.84,10683.3,31766.95
friendster_t0_DP_SAGE_nl12of8_cm3GB,SAGE,1024,256,16,4,"[10, 10, 10]",dryrun,3.0GB,cm3GB,3145728,805306368,0,0,7,20,264.84,7454.04,342.63,8061.51
