papers_t0_DP_SAGE_nl4of16_cm4GB,SAGE,1024,100,16,4,"[10, 10, 10]",dryrun,4.0GB,cm4GB,10737418,1073741800,0,0,7,73,816.56,16618.28,880.06,18314.9
papers_t0_NP_SAGE_nl4of16_cm4GB,SAGE,1024,100,16,4,"[10, 10, 10]",dryrun,4.0GB,cm4GB,10737418,1073741800,0,0,7,73,1046.65,15172.19,995.94,17214.77
papers_t0_SP_SAGE_nl4of16_cm4GB,SAGE,1024,100,16,4,"[10, 10, 10]",dryrun,4.0GB,cm4GB,10737418,1073741800,0,0,7,73,1247.41,556.82,2599.83,4404.06
papers_t0_MP_SAGE_nl4of16_cm4GB,SAGE,1024,100,16,4,"[10, 10, 10]",dryrun,4.0GB,cm4GB,111059956,11105995600,0,0,7,73,19782.54,930.97,19035.15,39748.66
papers_t0_DP_SAGE_nl6of16_cm4GB,SAGE,1024,100,16,4,"[10, 10, 10]",dryrun,4.0GB,cm4GB,10737418,1073741800,0,0,7,73,805.78,1329.83,830.62,2966.23
papers_t0_NP_SAGE_nl6of16_cm4GB,SAGE,1024,100,16,4,"[10, 10, 10]",dryrun,4.0GB,cm4GB,10737418,1073741800,0,0,7,73,1032.17,596.12,922.57,2550.87
papers_t0_SP_SAGE_nl6of16_cm4GB,SAGE,1024,100,16,4,"[10, 10, 10]",dryrun,4.0GB,cm4GB,10737418,1073741800,0,0,7,73,1253.34,557.49,3302.52,5113.35
papers_t0_MP_SAGE_nl6of16_cm4GB,SAGE,1024,100,16,4,"[10, 10, 10]",dryrun,4.0GB,cm4GB,111059956,11105995600,0,0,7,73,19119.87,930.0,19358.87,39408.73
papers_t0_DP_SAGE_nl8of16_cm4GB,SAGE,1024,100,16,4,"[10, 10, 10]",dryrun,4.0GB,cm4GB,10737418,1073741800,0,0,7,73,808.58,1205.27,809.55,2823.41
papers_t0_NP_SAGE_nl8of16_cm4GB,SAGE,1024,100,16,4,"[10, 10, 10]",dryrun,4.0GB,cm4GB,10737418,1073741800,0,0,7,73,1046.91,593.4,914.47,2554.78
papers_t0_SP_SAGE_nl8of16_cm4GB,SAGE,1024,100,16,4,"[10, 10, 10]",dryrun,4.0GB,cm4GB,10737418,1073741800,0,0,7,73,1243.12,555.88,3097.19,4896.19
